dept,style,description,brand,barcode,epc,color,size,cost,price,expected,scan,back stock,sales floor
MEN APPAREL,DNM-BLU-28,Classic Blue Denim Jeans,HouseLabel,8901234560001,303400101000000000000001,Blue,28,850,1999,15,14,4,10
MEN APPAREL,DNM-BLU-28,Classic Blue Denim Jeans,HouseLabel,8901234560001,303400101000000000000002,Blue,28,850,1999,15,14,4,10
MEN APPAREL,DNM-BLU-28,Classic Blue Denim Jeans,HouseLabel,8901234560001,303400101000000000000003,Blue,28,850,1999,15,14,4,10
MEN APPAREL,DNM-BLU-30,Classic Blue Denim Jeans,HouseLabel,8901234560002,303400102000000000000001,Blue,30,850,1999,18,17,5,12
MEN APPAREL,DNM-BLU-30,Classic Blue Denim Jeans,HouseLabel,8901234560002,303400102000000000000002,Blue,30,850,1999,18,17,5,12
MEN APPAREL,DNM-BLU-32,Classic Blue Denim Jeans,HouseLabel,8901234560003,303400103000000000000001,Blue,32,850,1999,20,19,6,13
MEN APPAREL,DNM-BLU-32,Classic Blue Denim Jeans,HouseLabel,8901234560003,303400103000000000000002,Blue,32,850,1999,20,19,6,13
MEN APPAREL,TEE-WHT-S,White Cotton Crew Tee,HouseLabel,8901234560021,303400201000000000000001,White,S,250,599,30,29,8,21
MEN APPAREL,TEE-WHT-S,White Cotton Crew Tee,HouseLabel,8901234560021,303400201000000000000002,White,S,250,599,30,29,8,21
MEN APPAREL,TEE-WHT-M,White Cotton Crew Tee,HouseLabel,8901234560022,303400202000000000000001,White,M,250,599,40,39,10,29
MEN APPAREL,TEE-WHT-M,White Cotton Crew Tee,HouseLabel,8901234560022,303400202000000000000002,White,M,250,599,40,39,10,29
MEN APPAREL,TEE-WHT-L,White Cotton Crew Tee,HouseLabel,8901234560023,303400203000000000000001,White,L,250,599,35,34,9,25
MEN APPAREL,TEE-BLK-M,Black Cotton Crew Tee,HouseLabel,8901234560031,303400301000000000000001,Black,M,250,599,38,37,10,27
MEN APPAREL,TEE-BLK-M,Black Cotton Crew Tee,HouseLabel,8901234560031,303400301000000000000002,Black,M,250,599,38,37,10,27
FOOTWEAR,SNK-WHT-7,White Canvas Sneaker,HouseLabel,8901234560091,303400901000000000000001,White,7,800,1999,14,13,3,10
FOOTWEAR,SNK-WHT-7,White Canvas Sneaker,HouseLabel,8901234560091,303400901000000000000002,White,7,800,1999,14,13,3,10
FOOTWEAR,SNK-WHT-8,White Canvas Sneaker,HouseLabel,8901234560092,303400902000000000000001,White,8,800,1999,16,16,4,12
ACCESSORIES,CAP-BLK,Black Snapback Cap,HouseLabel,8901234560111,303401101000000000000001,Black,One Size,300,799,25,24,6,18
ACCESSORIES,CAP-BLK,Black Snapback Cap,HouseLabel,8901234560111,303401101000000000000002,Black,One Size,300,799,25,24,6,18
